College,TuitionFees,Books,RoomBoardOn,RoomBoardOff
Alverno C,29456,768,8950,7120
Beloit C,51532,1000,9630,10364
Cardinal Stritch U,31798,700,8950,6517
Carroll U,32850,1126,10058,7026
Carthage C,45100,1200,12400,12400
Concordia U,30352,1800,11170,11170
Edgewood C,30600,800,11350,10125
Lakeland U,29880,1100,9624,6084
Lawrence U,49122,900,10719,7809
Maranatha Baptist U,16660,1300,7300,10830
Marian U,27950,800,7650,5100
Marquette U,43936,816,13200,13200
MIAD,38550,750,9300,9000
MSOE,42162,1000,9768,9768
Mount Mary U,31160,1400,9180,7254
Northland C,37516,800,9406,9406
Ripon C,45113,750,8653,6750
Saint Norbert C,39529,950,10435,4526
Silver Lake C,29600,1176,11510,7822
Viterbo U,28650,1000,9295,9295
Wisconsin Lutheran C,30850,800,10496,7118
